address, points,
tz1hoverof3f2F8NAavUyTjbFBstZXTqnUMS, 1,
tz1eDj5UuChVcZpA7gofUtyVS6mdQAcyEbZ5, 1,
tz1Mqnms73LqgBCYiM7e5k12VyWNQG8ytcGb, 1,
tz1PrdiHD3Ys28bHXVGXQ3VbiLAChe58bzt1, 1,
tz1TRrpXyABLU7RfM1fR5AbFM4g3F71KpKVS, 1,
tz1djbv9JAQkbn8uQqXJEmM4ymxHSqmdzGy4, 1,
tz1RSQ8MiXbeJhH86YSieazCP2oZzWtuMsRx, 1,
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6, 1,
tz1Z2mQP5Vr9cTK96ijTArTxcvyvNwYdzRBK, 1,
tz1Uza3jMhipiQMtmeEidizjbSqnqZMQyRv7, 1,
tz1VmeVuNCpwi3uuhBGWpYFk1Qx8UKYpZsJi, 1,
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod, 1,
tz1WfywmB9V1F3nMv7DQrKhCppPLFnHC3d7m, 1,
tz1hYc8FKJSztPJb8a9b4V4yQBGtk9t1FkEj, 1,
tz1ae2d1BJt7YUqaaec6Xenh3mBqS7VjSZtK, 1,
tz1UVbZj97XFLZfvXGF6i1UcodUCqdontCJZ, 1,
tz1awk5LLbgeEyVjH4bhUHV1yjtd8LThY424, 1,
tz1RV8NPxcqv5HVUrj5TBaDJCj83BN9SLTrW, 1,
tz1NufWtpqS3nfR8VW1xFyWq4GWqb969keeR, 1,
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp, 1,
tz2ALu8Jxf2SMgzSZaZEwfiJQbogpUDPStwz, 1,
tz1cj6FQs2Zjuwwf1uY7e7fLQfzi3YAbNj46, 1,
tz2M9C5x1KoZGoQ9xEY6fQ6Xwbe2GU1RTzRx, 1,
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf, 1,
tz1chAZukD7QacpWDUJ33dGqeWFvknj5Xpj9, 1,
tz1eee5rapGDbq2bcZYTQwNbrkB4jVSQSSHx, 1,
tz1NLriYQcLzyDqvd1PR6uQcYaiUv7wvCn3C, 1,
tz1L98rgjYKkLqGoiJ6qLsLdrBxSjLfEnRcm, 1,
tz1ZfxjoBeGkRG7zLgyH6gnYVNAL9KQwRnCB, 1,
tz1LovFrdT3D2uY5ijGnb16172szCqFazDCE, 1,
tz1UKJ6X9pfAneU62ndcXukNL3rPzxCskT6K, 1,
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH, 1,
tz1eCLWs5k2Xh8jsqigz5zsNHoUQXWRSPDBp, 1,
tz1ZXeFfsL3pe3jnUWLe9fe2qX4f8KQRsu8N, 1,
tz1egZ7YNcG81udp3pGXPBsYQsUNHB7xAH7V, 1,
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL, 1,
tz1KhU89QWZuuhhnDD1paFp1jYMdpJLh55im, 1,
tz1UFF5DSDDtk3fM1ewaLvVG6fhaAeCdgYEt, 1,
tz1TgtGGP3TDUMnUw4UzRTZHrsmzsSKraau7, 1,
tz1XYkmAHtkZFjZLdWNoL2BTqUws4oD4H1PR, 1,
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR, 1,
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg, 1,
tz28TEDQtxMmoi4ji4A1iYK8hdLLuUAzCbhk, 1,
tz1XAFvpynqgRBizrYs12fBt563NSHm9FWve, 1,
tz1XZHusEWRoEE7hANEMixVGFWjSemc3heyh, 1,
tz1NS4ZXnzYBPJpspW2svbqdjGsgBsGZchzV, 1,
tz1XisBzUGgCmvC7pNS6hxvQ5hMvXUTd1p7D, 1,
tz1WT27PugwGBtre1hsj6BHmbAK2qQsVbRDo, 1,
tz1PTiQ6aPZB9oxB5aMGNxWAEeezUok4sEuE, 1,
tz1eFe7ufhpTuqh3LHB7zYLuFgB1rFCPXnzN, 1,
tz1aRebKaR6njMcV1K7kHASbiZFNxjUMeQBy, 1,
tz1RmNhtbAHyGnouU9ohsPnt9c7bdbXZT6rF, 1,
tz1NCsGajb5YgZdhdviKrfisN3VteMasnzQi, 1,
tz1dCyFm9jxuhxJEi8UW5sgiS7TFubaNT1J7, 1,
tz1ZW1Z6YqZKjeCbb5LVTWJ7UaSTooXmMajq, 1,
tz1akJUKXFmNjxKaCqcEHmwbx4u86xfHLYJc, 1,
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh, 1,
tz1PMB2EKqwkD2NDuf9tvdqhEjhBy3pBGQKX, 1,
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z, 1,
tz1KpvuPq8Tjn2NcL2kzZPbZ5pto5Jhfn1Bc, 1,
tz1MFPtcQBsyRPoaVX3sBz6hNGkMD6EwXaLv, 1,
tz1YT4u9DnGFiRM8AXXACY8LWuV1rW3A2hFb, 1,
tz1TrvRTDo7KBu1Acc5j12R8D6anAHeM9Tdp, 1,
tz1Lhhzd16ZGf1gwM1o7UJUU3KUm9oB9FGeg, 1,
tz1MToDUySbYhPabULUyDPPsfDQF1cpZPdoH, 1,
tz1PFaBHa9eipGtv14rHMG7QCkZMGmXEwLcS, 1,
tz1XrwX7i9Nzh8e6UmG3VnFkAeoyWdTqDf3U, 1,
tz1c6Brwut7ZqXQfkjxDXvyAUL2Mr43p2JZZ, 1,
tz1Zvy3bKQWdv5mV5iiGKCpNdwmSYHDg5oDA, 1,
tz1a92ZVmHDSqZ2dYbcrTZG9baK7bXSMRazZ, 1,
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1, 1,
