address, points,
tz1QSbd179w1Xp9WTaCwcBt4xxvBpZEtxbxJ, 1,
tz1eDj5UuChVcZpA7gofUtyVS6mdQAcyEbZ5, 1,
tz1Xtw4QseYemiFGrxUyVD3XCZeuou5nmoXp, 1,
tz1Me1MGhK7taay748h4gPnX2cXvbgL6xsYL, 1,
tz1LHh1BAEf7tJDZnqqF8pSS9Uy4dLhu3bGJ, 1,
tz1ZfxjoBeGkRG7zLgyH6gnYVNAL9KQwRnCB, 1,
tz1bhMc5uPJynkrHpw7pAiBt6YMhQktn7owF, 1,
tz1cfYDUztejCEVLWcemW8XZ32UmsT5HRnYf, 1,
tz1bRybF7LvgnmQhvL92iqWL1MkUQ9gz5qP3, 1,
tz1XYh8aN8MdCGKKhKgKwuT1duedWn22hqBt, 1,
tz1L8mheYYSQSSxsSqEFyHDcMwJkqy37p5kk, 1,
tz1dkkfj76D6KkhqwZbDcBy2hRvNc45TEaVM, 1,
tz1feAQgu4hiGMukdBCLjLiDevjUGL1U6zsr, 1,
tz1SFp2ep4eN7YHPPyCe3HQENR17qxFsRFLu, 1,
tz1hwHSjAX4LLuVBZNEwimE4wixPRPSfCy7s, 1,
tz1YjsPAFc2RmuKa784bkeQhdVLzbnRVtB7c, 1,
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4, 1,
tz1cUayLoh54cuEGG5C5XJnrftdY4o1imVFR, 1,
tz1VPBPt5JXudRcexm6pgiN3peuVBaYrfHmi, 1,
tz1SUgyRB8T5jXgXAwS33pgRHAKrafyg87Yc, 1,
tz1e79js9L7MZUmdio6oDigvtK9Up8Jqxt18, 1,
tz1ccChjQckbojW39Rd9U2z2oqe9m7wNeoLf, 1,
tz1LMwpzp6amFjuJWMoaUQaQcLxb7XTXux15, 1,
tz1heNFwoPQDiGRzJ89r29jdzH267gkXHX4E, 1,
tz1TNyGDAxGn2t4EDh5JK9Xu6KKaS3FeGViH, 1,
tz1RmPNzio2JFSecq8W1bohHsRFxetW3WTsF, 1,
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL, 1,
tz1Mdtt1jtPiMmKVSDbB2PRHVVRcVStayanS, 1,
tz1NiraRNtWgpXyyxopRTk2a7Py9oKFdrgkB, 1,
tz1SMoz8tsJzeQPtGhPEjPnanQMvFc5KitVh, 1,
tz1LGkz6e1mTymuFyHBVFQZsHEtHepCYYgXD, 1,
tz1WW1xr4mdTif7jorgVr7aqY3YnnJPSDXj7, 1,
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV, 1,
tz1NhuLdEpkZ89o7L2jsPCwkwdkQMmvdsGBx, 1,
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z, 1,
tz1YPwsoimj6u1yEhWHb3ok1jckWPLcTfJZD, 1,
tz1bwLGYYfZnPG9E6rmkeXQ9VXEH8QdzYfJQ, 1,
tz1eSGjgq2NmLWnaQFQxafXK8ZQF5V7Sz72y, 1,
tz1fwd9Ub1AwXaRNLUfdDCtQfWyeq8YcJvCV, 1,
tz1Zya25zMcv5a5UbYyLYVuES7SA5eWcis5b, 1,
tz1fo22Xmf7vAhG5oKRSs1cKwoe61rz8bj4v, 1,
tz1ModnzoHjjVaKTReeQUQviaTx38fNe7Cxa, 1,
tz1KkAB91jj22vLF23iy8j2FLiNY7UQQNcAm, 1,
tz1UGuKv6PzgVbofb42VgeRwDwsVN47UpuZB, 1,
tz1UVbZj97XFLZfvXGF6i1UcodUCqdontCJZ, 1,
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU, 1,
tz1hKW9ZbV7U1hb1zPfrE6HG5UWsKt6eppMa, 1,
tz1XmqF5gnTjgE6Cxu5CzaT5H7vXiFfihe95, 1,
tz1P4owaJWbeXsuqGSvggi3imzR2mJDpyxTV, 1,
tz1iPA3gTLEnEaa9iFdCcPHpnZPXMah9CshZ, 1,
tz1eee5rapGDbq2bcZYTQwNbrkB4jVSQSSHx, 1,
tz1Yx8y6ynAEik7FqmZm8pyxmXz92w3XrWzV, 1,
tz1aVZZd883FwyEx5g2o3TgQ7pwEYi2f6apg, 1,
tz1bBkoYeN1KLDWAYQDRT7UZQfSJem22J5SF, 1,
tz1chAZukD7QacpWDUJ33dGqeWFvknj5Xpj9, 1,
tz1QDp8TCD9dJgWoszxo77K6QukSTubjqd2C, 1,
tz1PrdiHD3Ys28bHXVGXQ3VbiLAChe58bzt1, 1,
tz1gfWTGmcTxn41vJ3EAoS2AWD1G8K94uxG5, 1,
tz1Qs93gzEve9EqZk4zhBzPp9BdAssDJhdoJ, 1,
tz1dNTV2DXUpqC7SEiJ4BTB5RvL53bPPHZfM, 1,
