address, points,
tz1gucx7tZJn55vxBNQWzRW6rVfeRLSe12X9, 1,
tz1aD4DmnnGyqxL7neCZ5JMQ6UnpcrKCpajE, 1,
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ, 1,
tz1WT27PugwGBtre1hsj6BHmbAK2qQsVbRDo, 1,
tz1hAZNx3LrRKFgfRytoLNVGhCrzU1uVDUHS, 1,
tz1Z2mQP5Vr9cTK96ijTArTxcvyvNwYdzRBK, 1,
tz1RSQ8MiXbeJhH86YSieazCP2oZzWtuMsRx, 1,
tz1d3kPmT5vs5gDix4Tn3AqtTJcYkrJijFp7, 1,
tz1Mq8j7AwoynKU8vXTe7ovh2ZALzxVHnRUM, 1,
tz1Q9Bgggw2VDNfcNtwUtK5ykmXEgXiDWQSs, 1,
tz1SFeLaGdLzgJZiCDnSpMCsbx76pHZZwA2E, 1,
tz1VG93T7617XZntLyyo2KzoZs2cK69GrABm, 1,
tz1SB6rA5pJmRJCeRQZPDykR8RFAzgcjF5bZ, 1,
tz1NzDBDAaSEDewoSmdXvtTvnG24oUATbEU6, 1,
tz1ZW1Z6YqZKjeCbb5LVTWJ7UaSTooXmMajq, 1,
tz1LeYVAjRmE3MnyNmYKg9ft3XarY9sWsHqD, 1,
tz1bBS9UkVu1rbR5taywsP82iHfcy9Mi7jou, 1,
tz1XEwWtP6DHFm4kGfTnJM7W81d6ZzaH2qV4, 1,
tz1ZVf8D4Fe5Kz1yY7HSYUwf4bMurrzwhsGc, 1,
tz1UVTMhbMiSETKCxFi413yZ7imF1xeyt3fV, 1,
tz1YLXAiSBFcQ5zRT9mKUiqhbnmaq4EVcHxa, 1,
tz1f4g2RKJkvQ47MDBDpe11UnNo3iGBFmuHM, 1,
tz1Kos4Ra6sdttpXE6yLYK2KTBfBqkTzXnE3, 1,
tz1SvMHKyNA2GsDqCs9ADSegZvKtoq2ergyS, 1,
tz1VMW2abkMAF88M1zvikhPwPgKZtEHKzXXN, 1,
tz1eSGjgq2NmLWnaQFQxafXK8ZQF5V7Sz72y, 1,
tz1WEjGgTyPyhUapqCRvwBnHhLCNV38Jr1GU, 1,
tz1UFF5DSDDtk3fM1ewaLvVG6fhaAeCdgYEt, 1,
tz1VESLfEAEwDEKhyLZJYXVoervFk5ABPUUD, 1,
tz1gWrjEiQibCss8cyFuHTULRdhEhkiujudM, 1,
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu, 1,
tz1Tq5XNVx1SKkwQL1PVQWJ7vKu7s7WHMtCq, 1,
tz1ZxzVg9QCSWncweFpLASiWQGd6xHAGDK8V, 1,
tz1P4owaJWbeXsuqGSvggi3imzR2mJDpyxTV, 1,
tz1VLGH7SJ4HA6kDXRiHYqVFkn2btjnoxqib, 1,
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S, 1,
tz1dqTasQcSSEK1UKJG9ifu81VyPnKzdV33T, 1,
tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx, 1,
tz1TNyGDAxGn2t4EDh5JK9Xu6KKaS3FeGViH, 1,
tz1egZ7YNcG81udp3pGXPBsYQsUNHB7xAH7V, 1,
tz1eCLWs5k2Xh8jsqigz5zsNHoUQXWRSPDBp, 1,
tz1LSMu9PugfVyfX2ynNU9y4eVvSACJKP7sg, 1,
tz1MGG4inpLtsuWe2WtK1G89bpeSM36t2YP2, 1,
tz1RZPb7kVHRih6Sg8cwaBveXSiMRjx9DkTY, 1,
tz1ZD5nQNtzgTzZxHgxgFuGo9CNBuGJHVRXu, 1,
tz1YtUbTURpWeX1CzHFamxS7fGdaKwKKgMzq, 1,
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE, 1,
tz1cSMrgBZXdv63TYyHQb9UBJWueBXYqfA4V, 1,
tz1Qor64hy8s7jH8ZQkMoaYLiS6NVmkeSBbY, 1,
tz1gDpbgZLmPffFfv5VEBELgsoPKK1m769Wd, 1,
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST, 1,
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW, 1,
tz1Z1xRcvcqPPqja34fWNd1StABUV38LnbpW, 1,
tz1RSRuULmTkaXTjrhbFuNkE4mkJLRGPWJmy, 1,
tz1Mrmh6eqh69hgeCXCCUtSaR8THWd9FFHnb, 1,
tz1ModnzoHjjVaKTReeQUQviaTx38fNe7Cxa, 1,
tz1fL2TsQR271w84MXx3qFD7y4PZ1F2mpHFA, 1,
tz1gp4A8cYNNcfQuYT6LnVQ5Dc1Nwf4vvxS5, 1,
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp, 1,
tz1L2tedTEhBmfaJVd2PeVqRmYjaJcKtZ5v3, 1,
tz1NiraRNtWgpXyyxopRTk2a7Py9oKFdrgkB, 1,
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk, 1,
tz1WTb67VvXjMievFACoRZ7ABfvPkA9E9yjs, 1,
tz1Pbq5gbBhZGn7BsyTt33HAPGtDFDx2unne, 1,
tz2HvBoCABjT3kwS4qQGmDdDc1oFk94n8DrT, 1,
tz1bpz9S6JyBzMvJ97qPL7TeejkUiLjdkDAm, 1,
tz1XuzzMTz1LhqbRPy9uxfRkccSxju3v8Y4j, 1,
tz1bDMtwR2dCKv64g4ZKKzK2o4HF6Z6ULy6R, 1,
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR, 1,
tz1TyFk65owRQ9GZhjp8Ae1AhHwkyQVVbXoL, 1,
tz1UKJ6X9pfAneU62ndcXukNL3rPzxCskT6K, 1,
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL, 1,
tz1MecDJoy514PR8aYqAu8Wdz5StX4iXY8AW, 1,
tz1Z4xVY4HrA3z51qwFLfD9KPxg47wxskndP, 1,
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4, 1,
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6, 1,
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA, 1,
tz1bzr2ZpR7oiyUQys7uiMDRptFF5dDs3XtN, 1,
tz1S2YCqqbddiWtFeiRXLUKcdAw5AXc66w8p, 1,
tz1PkqVGKryU2RgCh3ch2dfSMMwq9wpbuCvx, 1,
tz1hvqKwQ9wPavCjQPnX4QdV5zBdSaXFp1t6, 1,
tz2VarjWds6jQ9rgD1BsKVqfoD6DbMYRmMs5, 1,
tz1c1BG1PEeuhMFwmonTVSGafehicqbBJFec, 1,
tz1ZJWZHTJwSmvh5aFQXBTYQEvVF8dxdno99, 1,
tz1XAFvpynqgRBizrYs12fBt563NSHm9FWve, 1,
tz1fHB9LeBzjooSqiAK6Rovd9etwCPssRyvC, 1,
tz1NpaSh5FzvsqVCEcLDtfexYyYELz9ys1m7, 1,
tz1NiySfCtftUyATTNu3cN2adQxQHjq7JUeM, 1,
tz1Mw3csUeeC87HzzShrFzLr4vmmQg3tWMsj, 1,
tz1ZQDgKHTotT9R5SURWDJw1kD2phLn4Ncp1, 1,
tz2NyhuiiC5Yyg1tDqM4GvCyuRFu4JHMHiYf, 1,
tz1XrwX7i9Nzh8e6UmG3VnFkAeoyWdTqDf3U, 1,
tz1WDtMQdggPNJvQVvVBSS8cHTKy1aLLWBag, 1,
tz1R6mtcAQwBTK9YpSqRL9y2a6JZWgDkBm6M, 1,
tz1RJf644pa7QAZqKzrPQGiYQPyubXarC4cv, 1,
tz1PQDUDph7dDCn8pLGXqaR79DiUWLiSZdEf, 1,
tz1VV5912Qp7qqZaQ28MC2G3RQ89UhEdueqt, 1,
tz1YCsSaNyBejukNKvdvmv88EzP6AMgdGV1t, 1,
tz1WrZ2Th2eCuq5NuZb8nHXPJUjaBE25Uwgv, 1,
tz1NhLfGEpY3LzwcwU6hUYGp52cHiBKZqnXK, 1,
tz1SLvRxfc6NFQBwkPBgXNjkeJP9S9JUrDT7, 1,
tz1iMfjNhpcUfDNCFTY5j2S3J6cY9NU8fKuv, 1,
tz1hVkjxFKtjAYSX6vwzdx47sFqyjjJf7duT, 1,
tz1SHW2PUfV6PzS9jsJmHCCLTE6qHRNwwGbZ, 1,
tz1iVi3a22yASeuDvjYsKQWM45QtQx1zL9P8, 1,
tz1abg9zujDpnmirLeAqMFpdgcc7Zf4KzcYo, 1,
tz1iPeVakaABzkhWFmG8mjYMpcN3JCpHBvZ2, 1,
tz1UDKnaDnazvt3tT9pdAot3VZ9eSTohK1LU, 1,
tz1XzerbE8PQfpmkRERWAE3iHxVzJ2jMb7ii, 1,
tz1gSPkEEMkMJjYDa9FrNzxGbMJrdzvqwkW2, 1,
tz1T3hDgHXWvzC7NCUa3sjx5mFkEa3BDujqJ, 1,
tz1XLSGfn5pFH7hh1W29CPSYqi1eQvKxQo1j, 1,
tz1TXwJMAm2XcTpYTj2XHCEkQCCzqGtR3MRi, 1,
tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4, 1,
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh, 1,
tz1dsvBGt2bDoMMxagnpHf45ehgNtQ6ctg3z, 1,
tz1RPbKSL7N7hd35ncAZ75XjEFNR5TBC5A8s, 1,
tz1dAKrr5ruyGJg2J34qdzPDXDMkMbqbYQfK, 1,
tz1PkhtL92gsaK2rjwMQRWEZ7YHpSvX7khyh, 1,
tz1RY14SJ4XnvjL2Ak6EtXn3Q8YZUvknQo5G, 1,
tz1dnKZn3p3VVFFMHTEVDf27QAsvaBc9kv67, 1,
tz1iMcmAUmTwrg1A2wgpBusDxyLu43UP2jf4, 1,
tz1aNkb3p9Zcu9FTxyEU9HzAi5fFzSDRfLC3, 1,
tz1aZsnuNAcKKGevP2QYDMUAj2n4EMh4gziy, 1,
tz1Umr4aa3F2tx6PAPtAcPw7ip3Wz4iFwPak, 1,
tz1XUCMAcjkUKnxyebTFLrgo1DDwZdhwpmK4, 1,
tz1czzCxrfa2hVsoNf45NPaqfHBjQE6vzxKa, 1,
tz1dzSD1AtD1dc3yRsi3aZZKmZDuyFrMdevR, 1,
tz1hMYeVB5fGhk678qvtczD26MeimChAUtNf, 1,
tz1QqGWAeKVMasqtGBEvMbhX4xEy55kELG8Y, 1,
tz1ir4kUT5GoMMjNw6UCfjLjQZnR3F1CZGz1, 1,
tz1bTNf2xQMUoFB9H45vqiSCRzSczfWxPSyN, 1,
tz1ZCur1tFazP59WXLEfwwajEgjsdeJ6hD25, 1,
tz1im9WQSRrrqqJ7ZjMqrkDpjAfgjoE1FC4P, 1,
tz1gvWT4Xtad5nkWTLgE47UaJGYDVXs2q2kH, 1,
tz1NaKs71zDeYGgryyTFVD4avdFbX1T4Ssoe, 1,
tz1hZdwBxsEREbHStW7io7AacXWSy1mxqC5z, 1,
tz1P1Y8vC45oCeqxNjxkzqmnTK6xgbjaWUAe, 1,
tz1eZkdJGMpxcyrbnLyvyqovk9W7DuRXP2qg, 1,
tz1bFwY5rc7Y6eNgdB3JmF1JnbCT4izWZnEo, 1,
tz1e3LWzbxFCRQtrJkLmLrseuif3FWesYmdK, 1,
tz1LhTrxes4PQE7p1W3ZZVEsCjuU9d1pMDo1, 1,
tz1NFcxc5MYciojoEtNKbPLEbKn5aAUx8vZV, 1,
tz1dajUpp8E7A5jA53nqZGfBxs1HLchGM1Wp, 1,
tz1Sk8DsCyWKmcEA89p8ytREwcSjWQGf4V2q, 1,
tz1Yoe8QLauwLiYB6bpDo6tXNtfidrrcUyCx, 1,
tz1c3Ku2TbC457jtQk7S6A9bxCWGvuhi3kDY, 1,
tz1QLPdm9ZS8F8LARVyjW43YuX4ErAPbjaLi, 1,
tz1KrVFQao21YrkNG4QV3fDVV9fJurzS3gVc, 1,
tz1Lh77Bz6BTBiGwwEj4by19Uic77umCobMw, 1,
tz1RadC74HiTA5p3JnpgaKFWTFQYBXL2Lb9X, 1,
tz1bDxsuUubL5dgYK351dZuyJN13RVErGu5c, 1,
tz1QdTE9vJieWqSuJCh1hKWnWZKqabNBrxR2, 1,
tz1eM8EAJnBT4uNdGSwVkJh9ABfLVoYQ2mDC, 1,
tz1i6YJszLqdd951QWxegcJqRYhuQzm9aQei, 1,
tz1ffeGkVt8a2m5DQNma9wjgJhYFEeEDJQkW, 1,
tz1bPLdomr5BKaG7WtahzhGkYgiQHPDj2NFk, 1,
tz1fmTtpA1fZAFibSHfEbWEBxZUsp3HxepaG, 1,
tz1Td3Vh5jX5Hp8AeMoXYefV9wKbT7HLoGj6, 1,
tz1ce4mSta7gyaTkkvSsic82nfPF9gMhfCn8, 1,
tz1WZCY2TQfJKJ4Mj84dWGE5AKFtqgZbgQGM, 1,
tz1NjmRtpVqPAi4puVNGShTo2WSMsoYB4zuC, 1,
tz1Sgzrh2iCYg5Jm8C7PgXQich5aZmjkDGWp, 1,
tz1P9evKJAn7YLjckZVG4qLFRYNU1GZhgs1h, 1,
tz1VTZzWaPRfTZ4XJwcirEPRtppTqv25CoM4, 1,
tz1LpwJRttneQdsKtSePBykyfMepGrF6zHXk, 1,
tz1KyJ5EEDLowyoGq4EVY4Ei8gxLB3mTwZ7W, 1,
tz1hmwh3nrdKnfsc1eywFymTvUMPjtpib9Wp, 1,
tz1NWWwJrxdoR388TXqrZviX8hUGz5aBAnVo, 1,
tz1UJd94Mz9pyLzfC8SAZvTdDHUs5qkFvucK, 1,
tz1WWzemVHRhtsP2C5Zo1b1CJ4pnQZf5NLJG, 1,
tz1YFf88w1azuHnVVb7PriaRMcuDjQoit4kR, 1,
tz1TWfAKNoJ5Fvae6ujzA9QPuQN6gmkBQGKi, 1,
tz1dKuipgWszbTRD8hE5ar2YSDFTAFoy1yRc, 1,
tz1UJ2ocTU76omNWGuXGTERMgfauXs3H5ev2, 1,
tz1UA5ioj8wfUUkQCHqE3TXedPXfmt41xBTc, 1,
tz1NzYUdMuhgzvpX8adyS8Zu6ch2U9QrwfGc, 1,
tz1XMz2AoRGwy6WFPZJ7kLTsU3gcErYaT2RM, 1,
tz1Lf9TbhWKGiUvQiRtgcQsBSUpki3wq64p7, 1,
tz1YtK9qUJffq2SqjhaJEGbufVHEBWDLPrSV, 1,
tz1iTrJBfWEM1mowWJ1xVGDcfKpAqv89QGwA, 1,
tz1gt6ik25GbE2ZTwHRbVzvXgxP46fGizSFh, 1,
tz1bszGRPa1MnqZZAbcm9rmTTmm7NpQS7RWC, 1,
tz1d125GVGG4QJEC9N6dVQ8g9TpcnJULNhkr, 1,
tz1fF85zv4Quw887h618ZzEZMyi5yg6aXaWe, 1,
tz1MrZQhiNiHK14oEq595DLsVQ9wC4Nv2ZXW, 1,
tz1PULq3erNrFYXm7rkSCAhAY7x7pd5zj9r9, 1,
tz1TexiiVDuXchjW3XfkYb8epPznMrsSj6oF, 1,
tz1eoqCSmqPQtTLs53Rj6gBB14eQh2aHWVxu, 1,
tz1bX4r4MD9tT93LRJff4nkwcrphQpatWpvw, 1,
tz1SZvFfWyKfzRpxskgFmFd4oXQrRHz8kfWH, 1,
tz1M1GeKygCz5ZcM7suebdLiaGMnjAeFP6hT, 1,
tz1cy3X651cSUhtJbNysH9maFC8LgJz9KyYv, 1,
tz1QoX2rtnpKq3MxJ21E9NcEKxqPL4dKsEcn, 1,
tz1e34cyK8Ppa1Sw4WbwMJG6fECUsh9ifbDh, 1,
tz1fQ8BJiGCqHZRo7HPsZnXLdVGxBZQm8vMV, 1,
tz1e4veqK6tHyApLHvn3vsPo7hgaKPm86Vxk, 1,
