address, points,
tz1cka4k5jrVz6eduybGy2Wb3v5NuXA8uWqu, 1,
tz1TryFDNby2e4T77HhTbgThrpqLM2G6KGdK, 1,
tz1WW1xr4mdTif7jorgVr7aqY3YnnJPSDXj7, 1,
tz1WEjGgTyPyhUapqCRvwBnHhLCNV38Jr1GU, 1,
tz2Tdzg9fBGWxti87romXRcxiZu8M1bYB3Hj, 1,
tz1PnbhBb2TV4tJjX1BpAScx8rPk2YAcc5VD, 1,
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod, 1,
tz1VESLfEAEwDEKhyLZJYXVoervFk5ABPUUD, 1,
tz1WrZ2Th2eCuq5NuZb8nHXPJUjaBE25Uwgv, 1,
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6, 1,
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk, 1,
tz1PkqVGKryU2RgCh3ch2dfSMMwq9wpbuCvx, 1,
tz1S2YCqqbddiWtFeiRXLUKcdAw5AXc66w8p, 1,
tz1LSMu9PugfVyfX2ynNU9y4eVvSACJKP7sg, 1,
tz2MBb5FxZXzhBuAPmY9z4zYTF8NeWPEkiV4, 1,
tz1NrxttoDXh3sKPRAv96KWy7JoJoHtaHKzW, 1,
tz2VDFmUhzQRZNaasQDu2DvEwqiXr8wiueU3, 1,
tz1ZQDgKHTotT9R5SURWDJw1kD2phLn4Ncp1, 1,
tz1Mq8j7AwoynKU8vXTe7ovh2ZALzxVHnRUM, 1,
tz1Q9Bgggw2VDNfcNtwUtK5ykmXEgXiDWQSs, 1,
tz1SFeLaGdLzgJZiCDnSpMCsbx76pHZZwA2E, 1,
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9, 1,
tz1SB6rA5pJmRJCeRQZPDykR8RFAzgcjF5bZ, 1,
tz1VG93T7617XZntLyyo2KzoZs2cK69GrABm, 1,
tz1dsvBGt2bDoMMxagnpHf45ehgNtQ6ctg3z, 1,
tz1RPbKSL7N7hd35ncAZ75XjEFNR5TBC5A8s, 1,
tz1cjbJRrAoFgBrFbboxgz538Ej7ZBkwqqR4, 1,
tz1dAKrr5ruyGJg2J34qdzPDXDMkMbqbYQfK, 1,
tz1PkhtL92gsaK2rjwMQRWEZ7YHpSvX7khyh, 1,
tz1RY14SJ4XnvjL2Ak6EtXn3Q8YZUvknQo5G, 1,
tz1dnKZn3p3VVFFMHTEVDf27QAsvaBc9kv67, 1,
tz1iMcmAUmTwrg1A2wgpBusDxyLu43UP2jf4, 1,
tz1aNkb3p9Zcu9FTxyEU9HzAi5fFzSDRfLC3, 1,
tz1eRrQnioaBfZkWnXxYth5ZHYJqr48E854Q, 1,
tz1aZsnuNAcKKGevP2QYDMUAj2n4EMh4gziy, 1,
tz1TNyGDAxGn2t4EDh5JK9Xu6KKaS3FeGViH, 1,
tz2X8pc43fTwS6p8erjSNp269JT3wQt9J2h2, 1,
tz1Y7PDJ58r8AEKqdnnG87azjdi19uMTB51G, 1,
tz1Umr4aa3F2tx6PAPtAcPw7ip3Wz4iFwPak, 1,
tz1egZ7YNcG81udp3pGXPBsYQsUNHB7xAH7V, 1,
tz1YpsY3TYSPeyGfCWj3XJ4U8Qu3FpGpefpp, 1,
tz1a9xk5qhcqU6vnQuiBF1bdFQva26nJ8Voe, 1,
tz1MGG4inpLtsuWe2WtK1G89bpeSM36t2YP2, 1,
tz1XUCMAcjkUKnxyebTFLrgo1DDwZdhwpmK4, 1,
tz1czzCxrfa2hVsoNf45NPaqfHBjQE6vzxKa, 1,
tz1dzSD1AtD1dc3yRsi3aZZKmZDuyFrMdevR, 1,
tz1hMYeVB5fGhk678qvtczD26MeimChAUtNf, 1,
tz1ZD5nQNtzgTzZxHgxgFuGo9CNBuGJHVRXu, 1,
tz2WqrBSpjhmx5Ea3MCrpc7TuybbCXb7hChy, 1,
tz1QqGWAeKVMasqtGBEvMbhX4xEy55kELG8Y, 1,
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp, 1,
tz1bBJ5SkJfSufeUrhR3Bn34NhTm8dd6vmtg, 1,
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4, 1,
tz1c1BG1PEeuhMFwmonTVSGafehicqbBJFec, 1,
tz1eee5rapGDbq2bcZYTQwNbrkB4jVSQSSHx, 1,
tz1f4g2RKJkvQ47MDBDpe11UnNo3iGBFmuHM, 1,
tz1Kos4Ra6sdttpXE6yLYK2KTBfBqkTzXnE3, 1,
tz1XrwX7i9Nzh8e6UmG3VnFkAeoyWdTqDf3U, 1,
tz1gWrjEiQibCss8cyFuHTULRdhEhkiujudM, 1,
tz1Tq5XNVx1SKkwQL1PVQWJ7vKu7s7WHMtCq, 1,
tz1dqTasQcSSEK1UKJG9ifu81VyPnKzdV33T, 1,
tz1ZW1Z6YqZKjeCbb5LVTWJ7UaSTooXmMajq, 1,
tz1c2iKyKoYoAEo6vArj8rFBFFC5Dnc3w4Ss, 1,
tz1WT27PugwGBtre1hsj6BHmbAK2qQsVbRDo, 1,
tz1fKtBhuuZiMYhM3Pi1hcP2sjRbstgDrmqX, 1,
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS, 1,
tz2WfHbdXWQ5wQLKfSkvqbaupvsith7gv6Vy, 1,
tz1ZVf8D4Fe5Kz1yY7HSYUwf4bMurrzwhsGc, 1,
tz1e4epYR8MQiunGs91T2g7G2cjTpbKPpoc8, 1,
tz1aqesstBBcPcYFrqExyxCBx8BXFG27NW96, 1,
tz1hUG853vcF9SBxENwVxfZnMyuLTjh5Ef4b, 1,
tz1fCEeLBcuSMSittqTnMEhcFdPCtD1HsiZc, 1,
tz1MT9A2Fhs6PwsUXtYgVUxGNxHeuHX93sr8, 1,
tz1Z4HEApoZ8Yum7RTc94Nqt2eepRcHFSqcQ, 1,
tz1RBj9cQW4nhy1EcyjZM6i7rGwKYJuAn3fp, 1,
tz1akJUKXFmNjxKaCqcEHmwbx4u86xfHLYJc, 1,
tz1VtJh8Rjb8RbZu5WvUyD6VZ4qqU8VpSFe6, 1,
tz1T3hDgHXWvzC7NCUa3sjx5mFkEa3BDujqJ, 1,
tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx, 1,
tz1bFW4mR1M6MTY8eJxToW3bG6o74ZKpxuhr, 1,
tz1hAZNx3LrRKFgfRytoLNVGhCrzU1uVDUHS, 1,
tz1RaAwq6xUWAd1YitcqigFqy6jyrhujx9G5, 1,
tz1L2tedTEhBmfaJVd2PeVqRmYjaJcKtZ5v3, 1,
tz1Z4xVY4HrA3z51qwFLfD9KPxg47wxskndP, 1,
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA, 1,
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S, 1,
tz1chAZukD7QacpWDUJ33dGqeWFvknj5Xpj9, 1,
tz1PMB2EKqwkD2NDuf9tvdqhEjhBy3pBGQKX, 1,
tz1gucx7tZJn55vxBNQWzRW6rVfeRLSe12X9, 1,
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV, 1,
tz1Qi31WujC58TRRqMsLA5qukRvxnps6zhhU, 1,
tz1Mw1ciFo72KMrpHbayY6hYyGwa85ZB6tqt, 1,
tz1i4GZNMM6Ku2L1jRE2tLq5Hu7556dZ8YHt, 1,
tz1Mqnms73LqgBCYiM7e5k12VyWNQG8ytcGb, 1,
tz1iJJPGh7arygfq5EC2sBaAF23T8iUYTpEH, 1,
tz1SEEQNGjxP3SC8biDWMMHwgpYk1aeiQDyJ, 1,
tz1RmPNzio2JFSecq8W1bohHsRFxetW3WTsF, 1,
tz1SoncZkvJZAbGxaJBuQ3ZuT3Sc2bKAEg8C, 1,
tz1VV5912Qp7qqZaQ28MC2G3RQ89UhEdueqt, 1,
tz1ZsYhGDQDv4n8FzCX2yaYRBh7FRu8ktM3B, 1,
tz1ir4kUT5GoMMjNw6UCfjLjQZnR3F1CZGz1, 1,
tz1bTNf2xQMUoFB9H45vqiSCRzSczfWxPSyN, 1,
tz1ZCur1tFazP59WXLEfwwajEgjsdeJ6hD25, 1,
tz1im9WQSRrrqqJ7ZjMqrkDpjAfgjoE1FC4P, 1,
tz1gvWT4Xtad5nkWTLgE47UaJGYDVXs2q2kH, 1,
tz1NaKs71zDeYGgryyTFVD4avdFbX1T4Ssoe, 1,
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST, 1,
tz1hZdwBxsEREbHStW7io7AacXWSy1mxqC5z, 1,
tz1P1Y8vC45oCeqxNjxkzqmnTK6xgbjaWUAe, 1,
tz1eZkdJGMpxcyrbnLyvyqovk9W7DuRXP2qg, 1,
tz1bGNEDyUgkZziP8dR6kQLrH9kvHD5qpg5H, 1,
tz1UKJ6X9pfAneU62ndcXukNL3rPzxCskT6K, 1,
tz1bFwY5rc7Y6eNgdB3JmF1JnbCT4izWZnEo, 1,
tz1e3LWzbxFCRQtrJkLmLrseuif3FWesYmdK, 1,
tz1LhTrxes4PQE7p1W3ZZVEsCjuU9d1pMDo1, 1,
tz1NFcxc5MYciojoEtNKbPLEbKn5aAUx8vZV, 1,
tz1dajUpp8E7A5jA53nqZGfBxs1HLchGM1Wp, 1,
tz1Sk8DsCyWKmcEA89p8ytREwcSjWQGf4V2q, 1,
tz1WidyAU8wuyG25Pd7b93bcx9hMu7W9Pea8, 1,
